date_completed,source,source_qid,correct,confidence,timed,discipline,organ_system,entry_point,final_diagnosis,discriminating_clue,confirmatory_test,next_best_step,first_intervention,definitive_management,common_trap,error_type,error_note,educational_value,takeaway
3/23/2026,usmlerx,21848.7,FALSE,medium,FALSE,Internal Medicine,Renal,abnormal mental state,uremia,asterixis,"Creatinine measurement, serum (procedure)",hemodialysis,hemodialysis,hemodialysis,treating hyperglycemia with insulin first,anchored_too_early,focused on DKA instead of uremia indication for dialysis,3,uremic symptoms reuqire emergent dialysis regardless of glucose
3/23/2026,usmlerx,43814.1,FALSE,low,FALSE,Internal Medicine,Renal,polyuria,post-obstructive diuresis,urinary catheterization,urine output monitoring,reduce intravenous fluid rate,reduce intravenous fluid rate,volume status management,continuing aggressive fluid replacement,low_confidence_correct,uncertain about management of post obstructive diuresis,3,post obstructive diuresis requires careful fluid reduction to avoid electrolyte imbalance
3/24/2026,usmlerx,44256.1,FALSE,medium,FALSE,Epidemiology,Biostatistics,Likelihood Ratio Test,,,,,,,confusing likelihood ratio with odds ratio,diagnostic_confusion,misinterpreted likelihood ratio as odds ratio,3,LR+ > 1 means a person with a positive test result is likely to have the disease
3/24/2026,usmlerx,43638.3,FALSE,low,FALSE,Dermatology,Skin,perianal dermatitis,perianal dermatitis,perianal rash,bacterial culture (procedure),antibiotic therapy,amoxicillin,antibiotic therapy,choosing psoriasis due to erythema,diagnostic_confusion,anchored on psoriasis without considering pain and localization,3,painful sharply demarcated perianal erythema suggests streptococcal infection
3/24/2026,usmlerx,43770.2,FALSE,medium,FALSE,Nephrology,Renal,edema of lower extremity,idiopathic membranous glomerulonephritis,normal serum complement levels,anti phospholipase A2 receptor antibody testing,anti phospholipase A2 receptor antibody testing,Angiotensin-Converting Enzyme Inhibitors,therapeutic immunosuppression,choosing biopsy prematurely,did_not_know_next_best_step,initial serologic testing for nephrotic syndrome includes PLA2R antibody testing.  biopsy may not need needed if positive,3,nephrotic syndrome with normal complement suggests membranous nephropathy and initial step is PLA2R testing
3/24/2026,usmlerx,21329.9,FALSE,medium,FALSE,Orthopedics,Musculoskeletal,knee pain,anterior cruciate ligament tear,injury while engaged in sports activity,lachman test,lachman test,"Rest, ice, compression and elevation treatment program",Reconstruction of anterior cruciate ligament of knee joint,choosing posterior drawer test,diagnostic_confusion,Confused ACL with PCL injury,3,"acute hemarthrosis after pivot injury indicates ACL tear, PCL more likely in steering wheel hitting knee in car accident (high energy)"
3/24/2026,usmlerx,43162.2,FALSE,low,FALSE,Infectious Disease,Pulmonary,dry cough,Pneumocystis jiroveci pneumonia,Methenamine silver nitrate stain method,bronchoalveolar lavage,atovaquone,atovaquone,atovaquone,Choosing nebulized pentamidine when it is used for prophylaxis,diagnostic_confusion,could not narrow down drugs based on indications,3,PCP in sulfa allergy and G6PD deficiency treated with atovaquone
3/24/2026,usmlerx,44091.1,FALSE,medium,FALSE,Cardiology,Cardiovascular,dyspnea,heart failure with reduced ejection fraction,Elevated brain natriuretic peptide (BNP),echocardiography,cardiac rehabilitation,loop diuretics,guideline directed medical therapy,choosing aspirin for heart faiulre,diagnostic_confusion,mistook mildly elevated troponins for MI,3,mildly elevated troponins can be seen in HF
3/25/2026,usmlerx,21850.6,FALSE,low,FALSE,Internal Medicine,Electrolytes,has tingling sensation,hypomagnesemia,hypokalemia peristent,serum magnesium measurement,magnesium supplement therapy,magnesium supplement therapy,magnesium supplementation,treating hypocalcemia or hypokalemia alone,did_not_recognize_pattern,"did not linke alcohol, diarrhea, and refractory electrolyte abnormalities to hypomagnesemia",3,hypomagnesemia causes refractory hypocalcemia and hypokalemia and must be corrected first
3/25/2026,usmlerx,22451.6,TRUE,low,FALSE,Infectious Disease,ENT,fever,invasive aspergillosis,septated branching hyphae,biopsy of nose,amphotericin B injection,amphotericin B injection,surgical debridement of wound,bacterial sinusitis,low_confidence_correct,,3,immunocompromised patient with necrotis sinus tissue and septate hyphae requires urgent amphotericin B
3/25/2026,usmlerx,43693.1,TRUE,low,FALSE,Dermatology,Skin,Eruption of skin (disorder),guttate psoriasis,recent streptococcal infection,clinical diagnosis,topical corticosteroid therapy,topical corticosteroid therapy,phototherapy,pityriasis rosea,low_confidence_correct,didn't recognize presentation of guttate psoriasis,3,scaly drop-like rash after strep infection indicates guttate psoriasis
3/25/2026,usmlerx,43938.1,FALSE,medium,FALSE,Surgery,Trauma,craniocerebral trauma,open depressed fracture of skull,step-off displacement deformity of skull,CAT scan of head,intravenous antibiotic therapy,intravenous antibiotic therapy,neurosurgical procedures,immediate surgery,did_not_know_next_best_step,chose surgery before imaging and antibiotics,3,open skull fracture requires antibiotics before neurosurgical intervention
3/25/2026,usmlerx,46964.1,FALSE,medium,FALSE,Internal Medicine,Neurology,migraine disorders,refractory migraine,nephrolithiasis,clinical diagnosis,erenumab,erenumab,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonists,topiramate,missed_key_clue,selected topiramate despite contraindication,3,refractory migraine after multiple preventive failures requires CGRP inhibitor
3/25/2026,usmlerx,24629.3,TRUE,low,FALSE,Cardiology,Cardiovascular,fever,infective endocarditis,splinter hemorrhage,echocardiography,echocardiography,blood culture,intravenous antibiotic therapy,chest imaging,low_confidence_correct,,3,"fever, murmur, and splinter hemorrhages require echocardiography to confirm endocarditis"
3/26/2026,usmlerx,21455.14,FALSE,medium,FALSE,Internal Medicine,Rheumatology,blurred vision,reactive arthritis,Circinate balanitis co-occurrent with reactive arthritis triad,chlamydia trachomatis nucleic acid amplification test,chlamydia trachomatis nucleic acid amplification test,"Anti-Inflammatory Agents, Non-Steroidal",doxycycline,choosing syphilis testing because of painless genital ulcer,changed_right_to_wrong,recognized reactive arthritis pattern but switched to syphils based on the painless urethral ulcer,3,circinate balanitis is associated with chlamydia
3/26/2026,usmlerx,43695.1,FALSE,medium,FALSE,Internal Medicine,Renal,edema of lower extremity,focal glomerulosclerosis,hydrothorax,kidney biopsy,kidney biopsy,Angiotensin-Converting Enzyme Inhibitors,"Antiretroviral Therapy, Highly Active",decompensated heart failure,diagnostic_confusion,"Heart failure is less likely w/o JVD or dyspnea, heart sounds are normal",3,In HIV patients with edema and transudative pleural effusions suggests HIV nephropathy from FSGS
3/26/2026,usmlerx,21459.9,FALSE,medium,FALSE,Internal Medicine,Renal,edema of lower extremity,NSAID-Induced Nephropathy,nephrotic range proteinuria,kidney biopsy,discontinue NSAID,discontinue NSAID,steroid therapy,methotrexate toxicity,diagnostic_confusion,"methotrexate can cause tubular necrosis, but the vignette shows nephrotic syndrome",3,NSAIDS can cause secondary nephrotic syndrome in patients with RA
3/27/2026,usmlerx,43807.2,TRUE,low,FALSE,Internal Medicine,Cardiovascular,dizziness,"shock, cardiogenic",oliguria,echocardiography,Inotropic support (drug),Inotropic support (drug),Left Ventricular Assistive Device (LVAD),intravenous fluids,low_confidence_correct,recognized shock physiology but uncertain between fluid resuscitation in inotropes,3,hypotension with low output and poor response to diuretics in heart failure indicates cardiogenic shock requiring inotropic support
3/27/2026,usmlerx,43238.1,FALSE,low,FALSE,Internal Medicine,Neurology,memory impairment,Alzheimer's disease,memory impairment,clinical diagnosis,Acetylcholinesterase Inhibitors,Acetylcholinesterase Inhibitors,supportive care,tachycardia,did_not_know_next_best_step,chose tachycardia instead of diarrhea as side effect of acetylcholinesterase inhibitors,3,acetylcholinesterase inhibitors commonly cause cholinergic side effects such as diarrhea not tachycardia
3/28/2026,usmlerx,24408.6,FALSE,low,FALSE,Internal Medicine,Neurology,retro-orbital pain,paroxysmal hemicrania,short duration,indomethacin,indomethacin,indomethacin,indomethacin,cluster headache,did_not_recognize_pattern,missed high frequency short duration pattern distinguishing paroxysmal hemicrania from cluster headache,3,paroxysmal hemicrania presents with frequent short unilateral headaches with autonomic features and responds completely to indomethacin
3/28/2026,usmlerx,43374.2,FALSE,medium,FALSE,Internal Medicine,Psychiatry,alcohol detoxification,alcohol withdrawal syndrome,liver cirrhosis,clinical diagnosis,lorazepam,lorazepam,phase II metabolism,chlordiazepoxide,changed_right_to_wrong,failed to recognize cirrhosis requiring phase II benzodiazepine instead of long acting agent,3,"in alcohol withdrawal with liver disease use lorazepam, oxazepam, or temazepam due to phase II metabolism and safer hepatic profile"
3/28/2026,usmlerx,24572.5,FALSE,low,FALSE,Internal Medicine,Renal,check up,"Glomerulonephritis, Membranoproliferative",Hepatitis  C,kidney biopsy,complement assay,treat underlying etiology,antiviral therapy,anti phospholipase A2 receptor antibody testing,diagnostic_confusion,did not recognize need to evaluate complement in suspected MPGN,3,"HCV is associated with MPGN, HBV is associated with membranous nephropathy"
2/28/2026,usmlerx,23134.11,FALSE,low,FALSE,Internal Medicine,Renal,hematuria,"Polycystic Kidney, Autosomal Dominant",ultrasound of kidney: multiple cysts of both kidneys,echography of kidney,Angiotensin-Converting Enzyme Inhibitors,Angiotensin-Converting Enzyme Inhibitors,kidney transplantation,aneurysm screening priority,did_not_know_next_best_step,focused on aneurysm risk instead of hypertension control,3,manage hypertension first in ADPKD before screening complications
2/28/2026,usmlerx,40200.2,FALSE,low,FALSE,Internal Medicine,Toxicology,liver failure,Poisoning caused by acetaminophen,transaminases increased,serum acetaminophen test,acetylcysteine,acetylcysteine,transplantation of liver,acetaminophen level threshold,did_not_know_next_best_step,focused on level instead of clinical improvement marker,3,AST level less than half of peak is the best indicator for discontinuation of NAC
